ID;RouteID;City;Longitude;Latitude;Zone
1;1;ПКУ №2   МН Субханкулово - Шкапово 12,1 км ЛТМ;53.840832;54.443894;Субханкулово
2;1;ПКУ №3а МН Субханкулово - Шкапово 23,1 км ЛТМ (Оборудование АО СТН ОТСУТСТВУЕТ);53.827614;54.348579;Субханкулово
3;1;ПКУ №3   МН Субханкулово - Шкапово 23,2 км ЛТМ;53.824442;54.344724;Субханкулово
4;1;ПКУ №16 МН ТОН-1 25,9км ТОН-2 25,1км ЛТМ;54.206248;54.601141;Субханкулово
5;1;ПКУ №42,ЛТМ (ТОН-3 117км);55.541892;54.801008;Нурлино
6;1;ПКУ №30, ЛТМ (УБКУА 1555км);55.913382;54.927543;Нурлино
7;1;ПКУ №28с, ЛТМ (ТУ-1,2 120км);55.541549;54.800294;Нурлино
8;1;ПКУ №29с, ЛТМ (ТУ-3 118км);55.541549;54.800294;Нурлино
9;1;ПКУ №30с, ЛТМ (ТУ-2 120км);55.541549;54.800294;Нурлино
10;1;ПКУ №40 (Александровка), ЛТМ, 152,1 км ТОН-1,2,3;56.044124;54.883800;Черкассы
11;1;ПКУ №44 (Александровка),ЛТМ, 152,1 км ТОН-1,2,3;56.044124;54.883800;Черкассы
12;1;ПКУ №44с (Александровка), ЛТМ, ТУ-3 152,1 км;56.044124;54.883800;Черкассы
13;1;ПКУ №43 (Тугай), ЛТМ, 1548 км УБКУА;56.013261;54.944846;Черкассы
14;1;КП 0км УЗН (ТНП);56.161279;54.911044;Черкассы
15;1;КП 29км, ЛТМ (УЗН 29 км);55.833968;54.919447;Нурлино
16;1;ПКУ №60н (рядом с п. Б), ЛТМ, 155,2 км ТОН-1;56.080985;54.903201;Черкассы
17;1;ПКУ №37 (пункт Б), ЛТМ, 154 км ТОН-1,2,3;56.079553;54.903525;Черкассы
18;1;ПКУ №23 ЛТМ КП№23 ТОН-1 332,8км;58.631111;55.087500;Бердяуш
19;1;ПКУ №22 ЛТМ КП№22 ТОН-1 333,5км;58.640556;55.089722;Бердяуш
20;1;(Оборудование АО СТН ОТСУТСТВУЕТ) ПКУ №19 ТОН-1 4,2км ТОН-2 2,9км ЛТМ;53.879172;54.560284;Субханкулово
21;1;(Оборудование АО СТН ОТСУТСТВУЕТ) ПКУ №26 ТОН-1 11,7км ЛТМ;53.989723;54.573891;Субханкулово
22;1;(Оборудование АО СТН ОТСУТСТВУЕТ) ПКУ №27 ТОН-1 10,9км ЛТМ;53.979441;54.572780;Субханкулово
23;1;(Оборудование АО СТН ОТСУТСТВУЕТ) ПКУ №17 ТОН-2 11км ЛТМ;53.970081;54.571768;Субханкулово
24;1;(Оборудование АО СТН ОТСУТСТВУЕТ) ПКУ №18 ТОН-2 8,9км ЛТМ;53.969143;54.571789;Субханкулово
25;1;ПКУ №3   МН УБКУА 1642,2км ЛТМ;54.781942;54.678611;Языково
26;1;"ПКУ №9 мн ""К-Я-С"" 290км (ЛТМ)";55.700517;53.656081;Салават
27;1;"ПКУ №31 мн ""К-Я-С"" 288км (ЛТМ)";55.681933;53.675578;Салават
28;1;"ПКУ №21 ЛТМ КП№21 ТОН-1 365,4км; ТОН-2 367,4км";59.076111;55.200561;Бердяуш
29;1;ПКУ №45 ЛТМ НКК 1147,2км;64.242000;55.318359;Юргамыш